Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Collin Sexton,SG,24,UTA,47,15,24.0,4.9,9.7,.507,1.0,2.5,.410,3.9,7.2,.540,.559,3.4,4.2,.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3
Landry Shamet,SG,25,PHO,30,7,21.4,3.1,8.1,.380,2.0,5.4,.377,1.0,2.7,.388,.506,1.4,1.5,.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5
Day'Ron Sharpe,C,21,BRK,35,2,10.6,1.7,3.1,.532,0.1,0.2,.625,1.5,2.9,.525,.555,0.5,0.8,.593,1.7,2.1,3.8,0.8,0.2,0.6,0.9,2.0,3.9
Shaedon Sharpe,SG,19,POR,62,5,20.4,3.2,6.8,.467,1.0,2.9,.337,2.2,3.9,.561,.538,0.5,0.8,.680,0.8,1.8,2.6,0.7,0.4,0.3,0.7,1.6,7.9
Pascal Siakam,C,28,TOR,54,54,37.5,9.0,18.9,.475,1.4,4.2,.342,7.6,14.7,.513,.513,5.6,7.3,.769,1.9,5.9,7.8,6.0,0.8,0.6,2.5,3.3,25.0
Chris Silva,PF,26,DAL,1,0,3.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Ben Simmons,PG,26,BRK,42,33,26.3,3.2,5.6,.566,0.0,0.0,.000,3.2,5.5,.571,.566,0.6,1.4,.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9
Marko Simonovic,C,23,CHI,3,0,1.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Anfernee Simons,SG,23,POR,57,57,35.3,7.5,16.8,.448,3.4,9.1,.378,4.1,7.7,.530,.550,2.6,2.8,.913,0.3,2.4,2.7,4.1,0.7,0.2,2.1,2.3,21.1
Jericho Sims,C,24,NYK,49,16,15.8,1.6,2.1,.769,0.0,0.0,.000,1.6,2.1,.777,.769,0.2,0.3,.750,1.9,2.8,4.7,0.5,0.3,0.6,0.5,1.9,3.5
Marcus Smart,PG,28,BOS,47,47,32.4,4.1,9.6,.423,1.8,5.3,.336,2.3,4.4,.527,.514,1.5,2.0,.774,0.7,2.7,3.4,6.8,1.5,0.4,2.4,2.7,11.4
Dennis Smith Jr.,PG,25,CHO,43,12,25.2,3.3,8.0,.421,0.4,1.9,.210,3.0,6.1,.487,.446,1.4,1.9,.747,0.4,2.3,2.8,4.5,1.4,0.4,1.5,2.2,8.5
Dru Smith,SG,25,TOT,9,1,11.2,1.2,2.9,.423,0.3,1.3,.250,0.9,1.6,.571,.481,0.0,0.0,0,0.1,1.6,1.7,1.1,1.0,0.3,0.2,1.4,2.8
Dru Smith,SG,25,MIA,5,1,13.4,1.0,2.8,.357,0.2,1.2,.167,0.8,1.6,.500,.393,0.0,0.0,0,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2
Dru Smith,SG,25,BRK,4,0,8.5,1.5,3.0,.500,0.5,1.5,.333,1.0,1.5,.667,.583,0.0,0.0,0,0.0,1.5,1.5,1.3,1.3,0.0,0.3,0.8,3.5
Ish Smith,PG,34,DEN,32,0,9.9,1.3,3.1,.430,0.1,0.2,.333,1.3,2.9,.436,.440,0.0,0.1,.500,0.1,1.3,1.4,2.3,0.2,0.2,1.2,0.8,2.8
Jabari Smith Jr.,PF,19,HOU,59,59,30.0,4.2,10.8,.383,1.5,5.2,.291,2.6,5.7,.467,.452,1.9,2.5,.788,1.3,5.7,7.1,1.2,0.5,1.0,1.4,2.9,11.8
Jalen Smith,PF,22,IND,53,28,18.2,3.4,7.3,.463,0.8,2.9,.279,2.6,4.4,.583,.518,1.5,1.9,.765,1.8,3.9,5.7,0.9,0.3,0.8,1.1,2.1,9.1
Jeremy Sochan,PF,19,SAS,51,48,26.1,4.3,9.6,.446,0.6,2.2,.254,3.7,7.4,.504,.475,1.4,2.0,.689,1.8,3.4,5.1,2.6,0.7,0.4,1.7,2.5,10.5
Jaden Springer,SG,20,PHI,7,0,3.7,1.0,1.7,.583,0.0,0.0,0,1.0,1.7,.583,.583,0.4,0.6,.750,0.6,0.4,1.0,0.1,0.3,0.3,0.1,1.0,2.4
Lamar Stevens,PF,25,CLE,45,18,17.4,2.0,4.4,.457,0.4,1.5,.303,1.6,3.0,.534,.508,0.6,0.9,.718,0.6,2.4,3.0,0.6,0.4,0.3,0.5,1.2,5.1
Isaiah Stewart,C,21,DET,50,47,28.3,3.9,8.8,.442,1.3,4.1,.327,2.6,4.7,.542,.518,2.2,3.0,.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3
Max Strus,SF,26,MIA,62,27,29.7,4.3,10.6,.401,2.5,7.5,.335,1.8,3.2,.553,.518,1.1,1.3,.877,0.7,2.8,3.5,2.2,0.6,0.2,1.0,2.2,12.2
Jalen Suggs,PG,21,ORL,39,14,23.2,3.4,8.1,.413,1.1,3.6,.305,2.3,4.5,.500,.481,1.6,2.3,.705,1.0,1.9,2.9,3.2,1.2,0.5,1.9,2.4,9.4
Edmond Sumner,SG,27,BRK,46,12,14.5,2.5,5.3,.459,0.6,1.8,.346,1.8,3.6,.515,.516,1.9,2.1,.926,0.2,1.3,1.6,1.4,0.7,0.2,1.0,1.7,7.4
